,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
122,vP680_d,0.1801122,0.8579551,1.916007,3.24038,6.64748,3.992658,2.667175,1.059469,5.748964,5.536935,6.106359,5.710514,3.669603,1.491372,0.2267775
123,vP680_f,-0.0005275141,-0.0006336054,-4.297008e-06,9.130892e-07,6.458714e-07,4.915884e-05,-0.002575508,1.179503e-07,2.242707e-05,1.564714e-09,-1.297349e-09,0.0003719893,-0.000103486,-0.006314956,-0.002638902
124,Vva,0.0,0.0,0.01958489,0.02499576,0.02332048,0.02236337,0.02163425,0.02180236,0.02174015,0.02212654,0.02252102,0.02404455,0.02508529,0.009821417,0.0
125,Vaz,0.0,0.0,0.01787557,0.05676353,0.07390488,0.07933265,0.08283331,0.08206081,0.08235008,0.08051767,0.07851472,0.06870092,0.05026941,0.003554568,0.0
126,Vza,1.871883e-11,3.10704e-11,0.0178751,0.05676366,0.07390487,0.07933275,0.08283322,0.08206135,0.08235011,0.08051767,0.0785147,0.06870115,0.05026922,0.003554703,2.540235e-11
127,Vav,3.895887e-10,6.28427e-10,0.01958421,0.02499591,0.02332046,0.02236337,0.02163418,0.02180278,0.02174017,0.02212653,0.02252099,0.0240447,0.02508506,0.009821724,5.106848e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-3.022058e-11,-3.180198e-12,-1.91201e-12,5.214199e-13,7.374503e-14,2.99593e-13,-2.541479e-11,1.428361e-12,1.12956e-11,3.927264e-15,-6.485581e-15,2.848846e-11,4.873086e-13,2.009888e-11,-8.247896e-11
132,ve2FBPase,-3.254084e-12,-5.121917e-13,-3.096907e-12,1.546256e-12,-5.017899e-14,1.028911e-13,-2.649586e-12,1.452675e-13,1.696323e-12,2.033031e-13,-1.326411e-12,2.844683e-12,1.90508e-13,2.214786e-12,-1.254533e-11
133,ve2SBPase,-1.469602e-11,-2.017533e-12,-1.323888e-11,9.824575e-13,-1.384234e-13,8.344984e-14,-1.217064e-11,6.469502e-13,7.496317e-12,4.727624e-13,-4.318456e-12,1.269381e-11,3.463534e-13,9.568186e-12,-5.408624e-11
134,ve2PRK,-2.942211e-11,-3.077698e-12,-8.768835e-13,6.714477e-13,-5.164563e-15,3.306767e-13,-2.479152e-11,1.394426e-12,1.661896e-11,2.618696e-15,-5.41467e-15,2.799136e-11,4.452527e-13,1.965409e-11,-7.915468e-11
135,ve2ATPase,-3.309978e-12,-3.461842e-13,-9.85162e-14,7.553633e-14,-5.937113e-16,3.716782e-14,-2.788519e-12,1.568315e-13,1.871385e-12,2.946648e-16,-6.089163e-16,3.148565e-12,5.007435e-14,2.210711e-12,-8.904332e-12
136,ve2ATPGPP,-3.002497e-11,-3.209041e-12,-1.048185e-11,1.296395e-12,2.248168e-13,1.973619e-13,-2.471808e-11,1.364092e-12,1.186657e-11,1.895022e-13,-6.938094e-15,2.725272e-11,5.332968e-13,1.947651e-11,-8.991694e-11
137,ve2MDH,-1.1269e-13,-1.180992e-14,-1.997751e-15,2.579181e-15,-3.618525e-17,1.42147e-15,-9.614184e-14,5.419032e-15,7.593766e-14,1.01915e-17,-2.000353e-17,1.088737e-13,1.6356e-15,7.607408e-14,-3.051286e-13
138,ve2Fd,7.734629,12.91482,13.56671,13.76094,14.15834,13.81015,13.16841,3.417993,14.08005,14.06077,14.11937,14.08813,13.87463,13.6588,8.696224
139,veFd2Thio,-1.385379e-10,-1.447572e-11,-3.115027e-11,5.83636e-12,1.2265e-13,-4.403477e-11,-9.404142e-11,6.377706e-12,7.015698e-11,8.9452e-13,-5.669373e-12,1.30446e-10,2.639766e-12,1.00208e-10,-4.000108e-10
140,veFd2Calvin,0.7673776,1.515305,1.865987,1.792483,1.642096,1.773862,2.016714,5.706537,1.671722,1.67902,1.656844,1.668665,1.749461,1.831136,0.9160333
141,ve2RuACT,-3.191278e-12,-3.410267e-13,-1.104408e-12,1.380701e-13,2.381275e-14,2.107526e-14,-2.627875e-12,1.450546e-13,1.258405e-12,1.982824e-14,-4.253699e-16,2.897762e-12,5.665083e-14,2.070661e-12,-9.547746e-12
