,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
114,vr2_1,0.01823864,0.03681627,0.08429372,0.0537487,0.05317975,0.07957152,0.04079207,0.07456523,0.04732381,0.04612964,0.02713367,0.03349259
115,vr2_00_2,24.05069,42.90139,51.99928,53.35862,53.71484,53.37225,50.43998,53.37952,53.51228,46.9235,29.65805,24.60518
116,vr2_01_2,33.17401,41.49404,62.03666,48.28553,47.87469,57.93893,44.2305,55.75134,46.42218,45.81073,39.22011,215.9096
117,vr2_02_2,1476.519,1592.473,3006.334,1841.536,1810.667,2750.88,1474.222,2573.239,1612.43,1815.494,1762.459,4599.912
118,vr2_2,1533.744,1676.869,3120.37,1943.18,1912.257,2862.191,1568.893,2682.37,1712.365,1908.229,1831.337,4840.427
119,vP680qU,0.1219927,0.4590906,0.453577,0.9842549,1.167674,0.6154038,0.8344646,0.6695743,1.209036,0.5190481,0.1655272,0.01240559
120,vP680qA,0.1235294,0.4646344,0.4585733,0.9948959,1.18013,0.6219962,0.844075,0.676752,1.22208,0.5251595,0.1675792,0.01253939
121,vU_P680,58.55382,106.2849,127.9205,133.0775,134.2439,131.9461,125.7688,132.1882,133.8912,116.2596,72.39118,34.10431
122,vP680_d,0.1219927,0.4590906,0.453577,0.9842549,1.167674,0.6154038,0.8344646,0.6695743,1.209036,0.5190481,0.1655272,0.01240678
123,vP680_f,4.483222e-09,-1.220091e-09,5.191654e-08,-3.793957e-08,3.033524e-08,2.490684e-09,-2.993536e-08,-4.152167e-08,-1.851182e-07,2.25508e-09,1.393593e-05,4.898452e-06
124,Vva,0.0,0.0,0.0,0.01094085,0.01732908,0.007024592,0.0,0.008034755,0.01426822,0.0,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.00449113,0.01297458,0.001748339,0.0,0.002317943,0.008141568,0.0,0.0,0.0
126,Vza,1.951714e-11,1.778176e-11,1.535605e-11,0.004491116,0.01297451,0.001748329,2.107709e-11,0.002317941,0.008142012,1.38356e-11,8.826902e-12,2.601603e-79
127,Vav,4.026584e-10,3.7518e-10,3.390724e-10,0.01094082,0.01732898,0.007024563,4.462282e-10,0.00803475,0.01426901,3.013339e-10,1.957773e-10,4.250788e-77
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,1.878431e-13,-2.200312e-13,-3.011943e-13,-2.682691e-15,9.578246e-14,-4.218441e-14,-4.134308e-13,2.554095e-13,-9.476273e-12,1.734793e-13,-3.043806e-12,2.859151e-10
132,ve2FBPase,6.69017e-12,-4.684705e-13,-3.32508e-13,2.972796e-13,1.393188e-13,-3.668407e-13,-3.13483e-13,2.621064e-14,-1.826739e-12,7.724251e-14,-8.244375e-14,6.169727e-11
133,ve2SBPase,2.899723e-11,-2.00457e-12,-1.534121e-12,7.545953e-13,1.430571e-13,-1.539893e-12,-1.558893e-12,1.167935e-13,-8.594068e-12,1.749342e-13,-9.215615e-13,2.718471e-10
134,ve2PRK,3.961895e-13,2.634303e-14,-2.291645e-13,-5.407034e-15,8.385052e-14,3.529285e-14,-2.632068e-13,2.494982e-13,-3.083346e-12,6.370724e-14,-2.895307e-12,1.008952e-10
135,ve2ATPase,4.484576e-14,2.958492e-15,-2.578555e-14,-6.010551e-16,9.428997e-15,3.966352e-15,-2.960288e-14,2.806318e-14,-3.450266e-13,7.134141e-15,-3.257045e-13,1.129675e-11
136,ve2ATPGPP,1.699298e-11,-1.886741e-12,-1.335705e-12,4.19739e-13,1.419701e-13,-1.244131e-12,-1.593179e-12,2.459403e-13,-1.556183e-11,2.813668e-13,-3.512684e-12,4.765532e-10
137,ve2MDH,2.689038e-15,-6.75729e-17,-9.610097e-16,1.23328e-17,2.890212e-16,1.008308e-16,-9.820161e-16,9.676504e-16,-3.905025e-16,1.029992e-17,-1.113232e-14,-1.640087e-13
138,ve2Fd,5.646408,9.781983,11.19624,13.40005,13.37705,12.42017,11.7805,12.67742,13.51068,10.58751,6.867334,3.230347
139,veFd2Thio,5.580155e-11,-4.77008e-12,-4.126498e-12,1.511027e-12,6.933334e-13,-3.265708e-12,-4.565244e-12,1.174018e-12,-4.031248e-11,8.044281e-13,-1.391667e-11,1.198721e-09
140,veFd2Calvin,0.6535459,1.357315,2.137388,1.929055,1.937757,2.159692,1.689904,2.11037,1.887188,1.573899,0.8618813,0.6391843
141,ve2RuACT,1.782776e-12,-1.990416e-13,-1.408581e-13,4.408599e-14,1.504291e-14,-1.309735e-13,-1.682279e-13,2.615e-14,-1.651701e-12,2.986232e-14,-3.728513e-13,5.055808e-11
