,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
79,v1z_1,0.06855477,0.2373953,1.386561,1.484855,9.615466,2.311404,0.8250898,2.173572,0.6052797,2.82576,1.08298,1.421098,0.1718399
80,v2z_1,0.06855477,0.2373953,1.386561,1.484855,9.615466,2.311404,0.8250898,2.173572,0.6052797,2.82576,1.08298,1.421098,0.1718399
81,v3z_1,0.06855477,0.2373953,1.386561,1.484855,9.615466,2.311404,0.8250898,2.173572,0.6052797,2.82576,1.08298,1.421098,0.1718399
82,v0z_1,0.06855477,0.2373953,1.386561,1.484855,9.615466,2.311404,0.8250898,2.173572,0.6052798,2.82576,1.08298,1.421098,0.1718399
83,vz_2,36.4827,63.97265,104.4154,152.9675,127.2543,156.6906,162.6772,157.3478,74.11535,154.9499,161.2283,127.7856,53.20879
84,v1z_2,9.120674,15.99316,26.10384,38.24188,31.81359,39.17264,40.6693,39.33695,18.52884,38.73747,40.30708,31.94641,13.3022
85,v2z_2,9.120674,15.99316,26.10384,38.24188,31.81359,39.17264,40.6693,39.33695,18.52884,38.73747,40.30708,31.94641,13.3022
86,v3z_2,9.120674,15.99316,26.10384,38.24188,31.81359,39.17264,40.6693,39.33695,18.52884,38.73747,40.30708,31.94641,13.3022
87,v0z_2,9.120674,15.99316,26.10384,38.24188,31.81359,39.17264,40.6693,39.33695,18.52884,38.73747,40.30708,31.94641,13.3022
88,v1z,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13412,41.56323,41.39006,33.3675,13.47404
89,v2z,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13412,41.56323,41.39006,33.3675,13.47404
90,v3z,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13412,41.56323,41.39006,33.3675,13.47404
91,v0z,9.189229,16.23056,27.4904,39.72674,41.42905,41.48404,41.49439,41.51052,19.13412,41.56323,41.39006,33.3675,13.47404
92,vAB1,24.46009,33.93411,55.3446,80.22911,82.92946,83.46455,85.29036,83.56036,39.38131,83.51547,84.17166,67.28066,28.61889
93,vBA1,6.081642,1.472989,0.3637982,0.7756286,0.07135556,0.4964737,2.301592,0.5393129,1.11303,0.3890125,1.391536,0.5456525,1.670816
94,vAB2,180.5386,76.61601,58.7172,93.14468,83.11444,90.43474,176.0474,91.86724,170.9388,88.16152,125.5177,73.84808,78.66275
95,vBA2,162.1601,44.1549,3.736401,13.69119,0.2563403,7.466662,93.05862,8.846199,132.6705,5.03507,42.73758,7.113074,51.71468
96,v3,6.253935,5.319355,2.318373,4.546667,0.5615234,3.084302,9.318361,3.30768,2.872577,2.481386,6.95132,3.347538,5.132774
97,v_r3,0.3658576,0.1704974,0.03914127,0.09472351,7.990447e-05,0.05742085,0.2660342,0.06364152,0.08839386,0.0427592,0.1741193,0.06316441,0.1789507
98,v3_n,13.0814,28.07988,53.62828,76.55363,82.31146,81.46596,75.87215,81.33798,36.51937,82.13623,77.80886,64.66703,22.65132
99,v_r3_n,0.5909669,0.7676169,0.9267154,1.552093,0.01479441,1.524411,1.935714,1.560976,1.035185,1.44817,1.80593,1.216402,0.6570663
100,v_pq_ox,3020.057,2827.601,2093.058,2418.22,22.29969,2283.022,2836.947,2335.103,3285.777,2167.518,2681.914,2259.94,2869.898
101,Ic,9.098925,16.71663,29.97708,51.77218,73.49674,79.49216,81.53765,83.58315,87.67414,91.97673,70.5343,37.94745,13.68365
102,Ia,41.55995,76.35433,136.9223,236.4729,335.7013,363.0858,372.4287,381.7717,400.4575,420.1099,322.1702,173.3276,62.50102
103,v2_1,36.50389,63.99849,104.4326,153.0342,127.2662,156.7509,162.9032,157.4131,74.32499,155.0007,161.3709,127.819,53.22967
104,v2_2,2842.755,1939.176,776.8223,1970.654,455.7566,1708.472,6239.452,1871.378,13629.22,1464.786,3974.528,1203.487,1896.992
105,v2_00_1,0.3227368,1.031809,5.516912,4.945809,14.60391,5.865638,1.9664,5.438308,0.185967,6.626601,2.891672,5.48297,0.76011
106,v2_01_1,1.620214,2.520572,10.73255,9.793303,29.08202,11.57849,4.826296,10.76143,0.7694115,13.06735,6.197855,10.70426,2.036751
107,v2_02_1,34.56094,60.44611,88.18317,138.2951,83.58024,139.3067,156.1105,141.2134,73.36961,135.3068,152.2814,111.6317,50.43281
108,v2_00_2,25.13326,31.26417,41.03755,63.68825,52.29849,63.93124,75.31624,64.65234,34.10138,62.62265,71.22119,51.62524,27.08871
