,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
132,ve2FBPase,-3.857633e-12,-1.063317e-12,-6.754724e-13,-1.386078e-12,1.553322e-12,-6.388301e-13,-8.473853e-13,-7.394453e-14,1.761004e-13,3.514414e-12,-1.293289e-12,1.846806e-12,-9.060665e-13
133,ve2SBPase,-1.299427e-11,-3.077009e-12,-1.510493e-12,-6.091551e-12,6.280941e-12,-1.610896e-12,-3.706842e-12,-1.618078e-13,1.180958e-13,1.235071e-11,-5.841223e-12,7.560774e-12,-4.332577e-12
134,ve2PRK,-5.059865e-13,-8.939758e-13,-1.230564e-13,-1.238011e-11,2.394743e-12,-1.074765e-14,3.026596e-14,2.924479e-13,4.260634e-13,1.02766e-13,-7.402632e-12,1.536167e-11,-6.21178e-12
135,ve2ATPase,-5.691595e-14,-1.005835e-13,-1.384347e-14,-1.392649e-12,2.693203e-13,-1.20875e-15,3.392091e-15,3.289419e-14,4.790493e-14,1.154211e-14,-8.323924e-13,1.728156e-12,-6.988996e-13
136,ve2ATPGPP,-4.004682e-12,-1.98293e-12,-1.21081e-13,-1.220415e-11,7.525209e-12,-1.17502e-14,-2.825188e-12,2.632334e-13,3.193026e-13,2.149878e-12,-1.018791e-11,1.523889e-11,-7.185306e-12
137,ve2MDH,-2.342392e-15,-4.048438e-15,-4.781061e-16,-4.799278e-14,8.873219e-15,-4.038653e-17,1.463673e-17,1.136542e-15,1.664711e-15,3.601449e-16,-2.463679e-14,5.937175e-14,-2.437533e-14
138,ve2Fd,4.005361,6.653596,7.965642,9.238048,12.92245,13.29831,12.86292,12.90786,12.77983,12.65809,11.28204,7.504555,5.028648
139,veFd2Thio,-2.353423e-11,-9.385389e-12,-2.693412e-12,-5.853817e-11,2.396711e-11,-2.295499e-12,-7.770094e-12,9.425213e-13,-2.863046e-11,1.886089e-11,-4.064561e-11,7.299607e-11,-3.213681e-11
140,veFd2Calvin,0.4028068,0.6866181,0.9533278,1.15621,2.10979,1.967556,2.13232,2.115312,2.163761,2.209828,1.588597,0.8964312,0.6685585
141,ve2RuACT,-4.22938e-13,-2.100509e-13,-1.287176e-14,-1.297428e-12,7.959089e-13,-1.25343e-15,-2.973086e-13,2.780879e-14,3.400107e-14,2.260466e-13,-1.081715e-12,1.619899e-12,-7.625696e-13
