,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12
42,Vbf7,51.11501,93.17116,112.3782,117.7378,118.766,116.8177,110.7834,117.153,118.3439,102.0717,63.25199,29.99351
43,Vbf8,80.27648,146.101,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
44,Vbf9,80.27675,146.101,175.7589,183.7872,185.3037,182.4233,173.3336,182.9235,184.6809,159.93,99.31029,47.12271
45,Vbf10,80.27831,146.1007,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31028,47.12271
46,Vbf11,46.96907,85.42093,102.635,107.226,108.0864,106.4509,101.2376,106.7357,107.733,93.47139,58.09813,27.57593
47,Vqi,102.23,186.3423,224.7564,235.4757,237.5321,233.6318,221.5668,234.306,236.6878,204.1434,126.504,59.98701
48,Vipc,9649.705,17591.92,21188.84,22168.0,22358.3,21999.65,20893.43,22104.61,22277.06,19267.09,11941.87,5660.227
49,Vicp,9647.625,17587.86,21183.46,22161.73,22351.49,21993.65,20888.24,22098.55,22270.54,19262.52,11939.25,5659.036
50,Vinc,39.60832,77.37903,102.5937,119.4374,129.8233,114.3775,98.93191,115.5463,124.2499,87.06239,49.87504,22.66256
51,Vinp,43.77761,85.52419,113.393,132.0098,143.489,126.4173,109.3458,127.7091,137.3288,96.22685,55.12504,25.04809
52,Vdp,35.61814,70.3781,94.65809,111.7755,122.5912,106.5541,90.98893,107.7185,116.774,79.51722,44.98242,20.29189
53,Vdc,35.61047,70.36185,94.63403,111.7439,122.5539,106.525,90.96631,107.6889,116.7398,79.49836,44.97255,20.28763
54,Vfp,6.079314,11.08291,13.34897,13.96584,14.08573,13.85978,13.16286,13.9259,14.03455,12.13827,7.523378,3.565943
55,Vfc,6.078004,11.08035,13.34558,13.96189,14.08144,13.856,13.15959,13.92208,14.03044,12.13539,7.521727,3.565193
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.313931,1.413582,1.572612,1.712967,1.751263,1.681076,1.546232,1.69202,1.735545,1.458769,1.338024,1.260443
58,VgPQH2,67.40533,435.1122,664.7534,651.8608,363.2868,1273.054,754.2771,159.8605,796.5558,481.5047,240.8246,315.2939
59,Vbf12,-6.30195e-08,2.413447e-10,-2.079018e-08,9.816156e-09,-4.46989e-10,2.266521e-08,-5.007238e-10,-5.375264e-08,-4.94628e-10,-5.045057e-09,-1.024435e-09,-3.61305e-10
60,Vbf13,-1.684034e-08,6.564891e-11,-5.827526e-09,2.837278e-09,-1.493574e-10,6.725968e-09,-1.402753e-10,-1.385169e-08,-1.327634e-10,-1.394196e-09,-4.616486e-10,-9.633738e-11
61,Vbf14,6.93491e-09,-3.038686e-11,1.988362e-09,-9.522931e-10,1.300299e-10,-3.510376e-09,5.029578e-11,5.49357e-09,-2.821643e-11,5.089009e-10,2.437106e-09,2.726667e-11
62,Vbf15,80.27648,146.101,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
63,Vbf16,80.27648,146.101,175.7589,183.7872,185.3037,182.4232,173.3336,182.9235,184.6809,159.93,99.31031,47.12271
64,vbfn2,29.16147,52.9298,63.38073,66.04938,66.53768,65.60733,62.55016,65.77055,66.33696,57.85831,36.05833,17.1292
65,VsNADPH,0.8751805,0.7013005,0.7168491,0.7323404,0.7944064,0.6941855,0.7042795,0.9765511,0.7197686,0.7154946,0.6734783,0.5477435
66,vA_d,18.53481,36.67418,54.71368,71.49925,84.46981,64.90282,51.14114,70.70862,76.36042,42.80784,22.25925,9.256569
67,vA_f,0.6327052,1.155066,1.543178,1.7867,1.941116,1.688418,1.479661,1.82825,1.835484,1.306919,0.7445786,0.3253358
68,vA_U,5021.469,9167.189,12247.44,14180.16,15405.68,13400.14,11743.34,14509.92,14567.33,10372.38,5909.354,2582.03
69,vU_A,4965.696,9058.612,12109.59,14027.46,15246.46,13250.32,11608.78,14363.84,14410.44,10251.76,5837.992,2548.733
70,vU_f,0.6256777,1.141385,1.525808,1.767461,1.921054,1.669541,1.462706,1.809843,1.815716,1.291722,0.7355869,0.3211404
71,vU_d,13.19646,33.22709,51.16747,67.15812,77.23156,62.31072,48.03151,60.28618,72.38593,39.15105,19.03352,8.033486
72,v1,133.9864,632.5327,1100.701,1220.682,858.2296,1976.742,1167.459,512.9467,1451.486,758.7024,288.0918,149.2947
73,v_r1,75.66348,526.6731,973.9399,1088.583,725.1542,1845.521,1042.359,381.4056,1318.812,642.9857,215.9751,115.0363
