,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
119,vP680qU,0.1734039,0.9427957,1.679888,5.184285,3.538213,6.419013,3.403767,2.71844,3.213625,3.717945,0.9845039,2.824729,2.55616,1.019322,0.2409249
120,vP680qA,0.175556,0.9536885,1.697892,5.247471,3.583908,6.504642,3.447885,2.752788,3.254044,3.764858,0.9958357,2.858544,2.585423,1.029977,0.2438941
121,vU_P680,72.81131,125.9032,135.5307,139.807,138.585,141.4846,138.4764,137.72,138.1454,138.6296,135.8516,137.5101,136.9729,134.6054,84.16264
122,vP680_d,0.1734039,0.9427957,1.679793,5.184285,3.538213,6.419013,3.403767,2.71844,3.213624,3.717945,0.9845039,2.824729,2.55616,1.019347,0.2409249
123,vP680_f,-2.245846e-05,7.907083e-08,0.0002275476,6.570171e-07,-5.71432e-07,-3.15945e-05,-8.807305e-06,-8.613175e-05,-0.0006587903,-2.234631e-06,1.898682e-10,-6.797433e-06,-2.342837e-09,-0.000663883,1.036546e-06
124,Vva,0.0,0.0,0.0246006,0.02310416,0.02075615,0.0206526,0.02059953,0.02098538,0.02138425,0.02150492,0.02164401,0.02275166,0.02413321,0.02241199,0.0
125,Vaz,0.0,0.0,0.04054458,0.07524096,0.08656719,0.08697979,0.08718929,0.08563453,0.08394278,0.08341222,0.08278933,0.07726998,0.06795501,0.02692384,0.0
126,Vza,1.163147e-11,2.511846e-11,0.04054423,0.07524095,0.08656719,0.0869798,0.08718929,0.08563453,0.08394278,0.08341222,0.08278921,0.07726998,0.06795495,0.0269233,1.502597e-11
127,Vav,2.512254e-10,5.153167e-10,0.02460019,0.02310415,0.02075615,0.02065261,0.02059952,0.02098538,0.02138426,0.02150492,0.02164389,0.02275166,0.02413315,0.0224113,3.192271e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,4.957097e-12,1.205572e-12,-1.4666e-12,-2.072502e-12,7.879588e-13,3.498686e-13,-1.20925e-14,5.913032e-13,1.35585e-12,2.751879e-13,-1.121888e-14,7.467494e-13,1.151099e-15,-2.33589e-11,-1.243599e-12
132,ve2FBPase,8.801445e-13,-1.785862e-12,-6.76207e-13,-2.434487e-13,1.972465e-13,6.381891e-14,7.753777e-14,1.843623e-13,3.145297e-13,1.260415e-13,-4.260219e-13,6.854261e-13,-9.342409e-14,-3.046484e-12,3.464999e-14
133,ve2SBPase,3.611992e-12,-5.137277e-12,-3.134031e-12,-1.440113e-12,4.15028e-13,1.821836e-13,1.973371e-14,3.516176e-13,8.170724e-13,1.685669e-13,-1.714785e-12,2.511788e-12,-6.800344e-13,-1.340762e-11,-3.822135e-14
134,ve2PRK,4.70765e-12,1.142281e-12,-5.507566e-13,-1.804681e-12,7.730877e-13,3.352051e-13,-1.493937e-14,5.629473e-13,1.297901e-12,2.634388e-13,-8.280973e-15,5.295476e-13,2.547965e-15,-2.225509e-11,-1.964032e-12
135,ve2ATPase,5.309042e-13,1.284753e-13,-6.173778e-14,-2.029299e-13,8.695813e-14,3.7703e-14,-1.680264e-15,6.331679e-14,1.459826e-13,2.963039e-14,-9.313155e-16,5.961948e-14,2.798682e-16,-2.50308e-12,-2.211539e-13
136,ve2ATPGPP,5.880392e-12,1.207916e-12,-3.605122e-12,-2.49099e-12,7.582602e-13,3.629723e-13,-5.896849e-15,6.032861e-13,1.387368e-12,2.775499e-13,-5.854015e-13,1.8411e-12,-3.969347e-13,-2.417771e-11,-4.28268e-13
137,ve2MDH,1.665172e-14,4.300352e-15,3.884154e-17,-6.104085e-15,3.00633e-15,1.305732e-15,-6.784395e-17,2.14504e-15,4.978711e-15,1.004053e-15,-3.10895e-17,3.803137e-15,-2.081668e-17,-8.468763e-14,-1.077938e-14
138,ve2Fd,6.914399,11.89124,13.44144,13.98395,13.62202,14.01999,13.56987,13.32759,13.57158,13.71616,8.584256,13.548,13.57339,12.9135,7.893711
139,veFd2Thio,3.426877e-10,-2.116449e-12,-9.023284e-12,-9.884208e-12,3.801898e-12,1.701369e-12,1.412269e-12,4.251774e-12,8.804275e-12,1.475518e-12,-2.815015e-12,6.963385e-12,-1.213644e-12,-1.044856e-10,2.52658e-11
140,veFd2Calvin,0.8621291,1.659449,1.913389,1.708089,1.845055,1.694451,1.864789,1.956475,1.864143,1.809429,3.751482,1.873063,1.863455,2.113177,1.026284
141,ve2RuACT,6.223351e-13,1.284278e-13,-3.814477e-13,-2.644476e-13,8.061797e-14,3.856334e-14,-6.30852e-16,6.411617e-14,1.474313e-13,2.950003e-14,-6.115565e-14,1.946167e-13,-4.168445e-14,-2.568977e-12,-4.57129e-14
