,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
56,Vsfd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,VsATP,1.275633,1.330295,1.361782,1.398651,1.737113,1.765489,1.765517,1.765494,1.765502,1.750575,1.455895,1.339162,1.295371
58,VgPQH2,2021.253,104.1145,401.163,453.154,620.5531,1158.569,390.7043,290.9382,463.3016,649.887,148.2881,334.936,284.4228
59,Vbf12,3.108759e-09,2.527025e-07,3.747349e-10,1.02092e-09,-3.661478e-10,2.248461e-10,2.11231e-08,3.859349e-07,-2.99514e-09,1.496506e-07,-1.242396e-07,-3.328564e-09,-1.022979e-09
60,Vbf13,8.314741e-10,6.791941e-08,9.564132e-11,2.797494e-10,-1.096688e-10,7.089296e-11,6.976158e-09,1.412014e-07,-7.59907e-10,4.495316e-08,-3.433045e-08,-8.898799e-10,-2.745598e-10
61,Vbf14,-2.797914e-10,-1.894595e-08,-4.972234e-12,-1.022051e-10,4.052322e-11,-1.679236e-11,-1.471503e-09,-5.141461e-08,-3.733663e-10,-1.496804e-08,1.242404e-08,2.971557e-10,9.364961e-11
62,Vbf15,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.4194,102.589,68.28738
63,Vbf16,55.84114,95.27628,120.4834,143.1915,189.4446,190.9529,191.0011,191.0832,190.9855,189.9726,163.417,102.589,68.28738
64,vbfn2,21.46291,36.33403,45.81571,54.33529,71.27997,71.99188,72.0318,72.08685,72.014,71.48146,61.8598,39.08452,26.15381
65,VsNADPH,0.3589191,0.703627,0.5430383,0.577373,0.6363205,0.5772296,0.6741376,0.725225,0.6512831,0.6311953,0.864545,0.5203425,0.4463619
66,vA_d,9.421744,20.6793,25.75719,32.88798,78.26433,132.6811,143.8032,152.4275,139.093,84.66767,43.58182,20.99398,12.82391
67,vA_f,0.3280659,0.6916994,0.8436694,1.044801,1.847095,2.218208,2.319198,2.374851,2.288382,1.909201,1.326909,0.7011492,0.4424825
68,vA_U,2603.698,5489.678,6695.789,8292.072,14659.48,17604.82,18406.33,18848.03,18161.76,15152.39,10531.02,5564.676,3511.766
69,vU_A,2562.222,5420.519,6605.764,8183.606,14494.42,17401.44,18202.58,18641.35,17959.71,14982.84,10407.12,5488.754,3461.887
70,vU_f,0.32284,0.6829854,0.8323263,1.031134,1.826298,2.192582,2.293525,2.348811,2.262924,1.887838,1.311297,0.691583,0.4361977
71,vU_d,8.984773,15.5682,22.83485,29.56615,73.15311,127.5884,132.6168,138.1866,129.3758,79.42153,35.65052,18.25671,10.86895
72,v1,609.7609,187.4786,462.4023,612.0035,1228.53,2306.79,1032.324,860.1092,1153.833,1302.012,406.3927,346.6293,201.9265
73,v_r1,566.8351,114.8106,370.7709,503.333,1085.97,2162.806,888.2606,715.9356,1009.805,1159.047,282.6768,268.4602,149.6189
74,vS1_S2,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
75,vS2_S3,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
76,vS3_S0,10.73145,18.16701,22.90785,27.16764,35.63999,35.99594,36.0159,36.04342,36.007,35.74072,30.93116,19.54226,13.07691
