,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15
58,VgPQH2,332.3522,346.9475,831.8701,1108.366,558.9432,776.9727,950.9106,870.8006,626.9096,337.6117,343.5054,360.4051,731.2948,482.7899,797.3084
59,Vbf12,8.287932e-08,-4.168003e-08,-1.384425e-09,1.805054e-10,1.732614e-07,1.107518e-07,-1.1971e-07,-2.127511e-07,-2.971994e-09,-7.15955e-07,-6.882264e-07,-1.416392e-07,7.908258e-08,-2.3621e-08,5.224929e-09
60,Vbf13,2.23512e-08,-1.153603e-08,-4.093407e-10,6.034429e-11,6.661297e-08,4.414045e-08,-4.838624e-08,-8.983428e-08,-2.123042e-09,-2.945503e-07,-2.767003e-07,-5.252211e-08,2.666334e-08,-6.815375e-09,1.41288e-09
61,Vbf14,-8.442169e-09,4.173994e-09,1.290113e-10,-8.057606e-12,-1.739556e-08,-1.095391e-08,9.121718e-09,2.09108e-08,1.308226e-09,7.073512e-08,6.455813e-08,1.416337e-08,-8.058045e-09,3.567234e-09,-5.652033e-10
62,Vbf15,106.9663,190.1693,217.4697,218.4198,218.4998,218.5134,218.517,218.5171,218.5102,218.512,218.5307,218.4857,218.3802,214.1198,114.0136
63,Vbf16,106.9663,190.1693,217.4697,218.4198,218.4998,218.5134,218.517,218.5171,218.5102,218.512,218.5308,218.4857,218.3802,214.1198,114.0136
64,vbfn2,41.34224,73.53328,82.54949,83.07911,83.28468,83.37102,83.44357,83.43574,83.42458,83.39636,83.37139,83.21978,83.02441,81.38084,44.03076
65,VsNADPH,0.6120674,0.8204791,0.7885559,0.7386158,0.7958451,0.7427299,0.7146809,0.723891,0.7638492,0.8911165,0.8890828,0.891484,0.7836312,0.8605731,0.5551236
66,vA_d,19.74224,47.15104,98.1556,160.1274,215.1789,237.4197,257.6046,256.0712,256.0499,250.8315,241.0597,200.8106,150.4151,77.92767,20.75686
67,vA_f,0.6794356,1.4389,2.18286,2.578793,2.827617,2.875447,2.916997,2.918075,2.936542,2.963379,2.935986,2.805853,2.549386,1.977045,0.7092256
