,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14
99,v_r3_n,0.4989598,1.037432,1.371228,1.327058,1.330189,1.258411,1.362936,1.168042,1.352607,1.163541,1.541031,1.059071,1.219706,0.4989598
100,v_pq_ox,2904.666,2978.195,2555.881,2455.168,2456.972,2325.023,2505.386,2151.71,2485.609,2149.451,3047.378,1972.644,2581.638,2904.666
101,Ic,11.14442,23.41739,51.63111,75.96544,84.64116,93.31688,108.7639,121.8833,113.3486,102.6274,83.30101,63.90408,36.46623,11.14442
102,Ia,50.90289,106.9605,235.8286,346.9773,386.6042,426.2312,496.7864,556.7101,517.7275,468.7576,380.483,291.8862,166.562,50.90289
103,v2_1,39.85631,79.61445,127.9348,127.5217,127.6351,125.999,128.6385,123.8655,128.4681,123.6405,120.5403,121.7199,113.0202,39.85631
104,v2_2,1704.643,4363.466,2141.492,1807.259,1839.652,1458.322,2131.401,1169.22,2055.338,1140.179,8366.087,897.3599,1884.938,1704.643
105,v2_00_1,0.4744389,0.7610992,3.245101,3.749283,3.693552,4.476105,3.269041,5.353831,3.372328,5.454374,0.7835894,6.586524,2.905639,0.4744389
106,v2_01_1,1.360857,2.512065,6.552645,7.475609,7.371239,8.866302,6.578859,10.58762,6.770134,10.78,2.126599,12.98975,5.87935,1.360857
107,v2_02_1,38.02101,76.34128,118.137,116.2968,116.5703,112.6566,118.7906,107.924,118.3256,107.4061,117.6301,102.1436,104.2352,38.02101
108,v2_00_2,20.29162,41.71392,54.31954,53.13544,53.23653,51.8068,54.16449,50.53714,53.95326,50.29877,54.38494,48.55806,48.45991,20.29162
109,v2_01_2,58.20346,137.6799,109.6843,105.9455,106.2444,102.6193,109.0046,99.94112,108.3141,99.41028,147.5964,95.76475,98.05513,58.20346
