,Reaction,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13
119,vP680qU,0.01991756,0.1186762,0.09641632,0.1394856,0.6484888,2.956076,2.675708,2.77505,2.131573,1.423456,0.6781664,0.1270604,0.1134382
120,vP680qA,0.02019609,0.1204316,0.09773933,0.1413457,0.6558825,2.990203,2.706397,2.806942,2.155717,1.440685,0.6874698,0.128882,0.115217
121,vU_P680,44.51748,74.68786,91.24118,106.3194,163.0906,170.4776,168.894,169.0079,168.1912,167.3784,135.3951,86.00425,57.65649
122,vP680_d,0.01991756,0.1186769,0.09641632,0.139485,0.648489,2.956087,2.675715,2.77505,2.131573,1.423456,0.6781664,0.1270605,0.1134382
123,vP680_f,-1.559432e-09,6.994556e-07,-4.259276e-09,-0.00175759,-4.119776e-07,-9.948106e-05,-4.651188e-05,-3.850016e-09,-1.389042e-05,0.0003829161,-2.79507e-07,-3.626625e-06,-1.033295e-07
124,Vva,0.0,0.0,0.0,0.0,0.009258815,0.02497692,0.02502039,0.02503724,0.02446234,0.01048961,0.0,0.0,0.0
125,Vaz,0.0,0.0,0.0,0.0,0.003132171,0.04619356,0.0473314,0.04786569,0.03913017,0.004098013,0.0,0.0,0.0
126,Vza,2.129516e-79,9.555817e-12,1.807669e-11,1.107579e-79,0.003132286,0.04619333,0.04733121,0.04786553,0.0391299,0.004098347,1.936149e-11,1.330587e-11,2.085487e-11
127,Vav,3.493138e-77,2.085167e-10,3.774399e-10,1.83079e-77,0.009259083,0.02497664,0.0250202,0.02503705,0.02446201,0.01049032,4.063312e-10,2.889764e-10,4.258245e-10
128,Vvf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Vv2ABA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,VABAdg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,ve2GAPDH,-1.419079e-13,-5.533971e-12,-2.832735e-13,-8.874356e-11,-6.947646e-12,-3.24206e-12,-2.920699e-11,1.092533e-14,-5.801939e-14,-1.464726e-12,-1.36611e-13,-9.302545e-13,3.584161e-12
132,ve2FBPase,-1.547016e-14,3.481114e-12,3.766785e-12,-9.392608e-12,-7.157491e-13,-9.109429e-13,-2.989779e-12,1.372249e-14,6.653694e-14,-9.85348e-14,-1.726329e-12,-9.341446e-14,5.446989e-12
133,ve2SBPase,-6.864552e-14,1.16041e-11,3.606296e-12,-4.176086e-11,-3.182514e-12,-2.955918e-12,-1.333692e-11,8.219667e-15,8.302917e-16,-7.512304e-13,-7.731996e-12,-4.925055e-13,2.325629e-11
134,ve2PRK,-1.412099e-13,-5.434855e-12,-3.35106e-13,-8.630812e-11,-6.797961e-12,-3.109762e-12,-2.857752e-11,4.328192e-15,-6.620938e-14,-1.42879e-12,4.593636e-13,-9.1807e-13,3.645319e-12
135,ve2ATPase,-1.589056e-14,-6.114691e-13,-3.777517e-14,-9.70815e-12,-7.646159e-13,-3.497735e-13,-3.214425e-12,4.861557e-16,-7.448306e-15,-1.607237e-13,5.161213e-14,-1.032839e-13,4.104226e-13
136,ve2ATPGPP,-1.410018e-13,-4.221805e-12,-5.011976e-12,-8.67884e-11,-6.666416e-12,-3.251204e-12,-2.814121e-11,1.007183e-13,-4.04863e-14,-1.446812e-12,-6.467629e-12,-8.916458e-13,1.600146e-11
137,ve2MDH,-5.479829e-16,-2.095129e-14,-1.652351e-15,-3.32629e-13,-2.64116e-14,-1.190167e-14,-1.109266e-13,8.023096e-18,-2.863107e-16,-5.525853e-15,1.163593e-15,-3.5622e-15,1.554063e-14
138,ve2Fd,3.983637,6.692055,7.772885,8.903766,12.05184,13.7687,13.64723,13.67823,13.47551,13.98644,11.82036,7.59227,5.222752
139,veFd2Thio,-6.669242e-13,-6.044055e-12,7.881977e-13,1.554903e-09,-3.195222e-11,-1.680934e-11,-1.34147e-10,1.503653e-13,2.314043e-12,-2.77718e-11,-1.598572e-11,-4.357375e-12,5.767106e-11
140,veFd2Calvin,0.4457063,0.6450453,1.094927,1.363166,2.439255,1.789548,1.835513,1.823783,1.900499,1.707147,1.328354,0.8251014,0.4331641
141,ve2RuACT,-1.498357e-14,-4.520754e-13,-5.263269e-13,-9.226562e-12,-7.088336e-13,-3.455834e-13,-2.992099e-12,1.059719e-14,-4.312987e-15,-1.537752e-13,-6.810896e-13,-9.480602e-14,1.683269e-12
